 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.193936576576E+04    0.19394E+04   -0.68086E+04  3256   0.106E+03
DAV:   2     0.366919221777E+02   -0.19027E+04   -0.17602E+04  4080   0.236E+02
DAV:   3    -0.468167815922E+03   -0.50486E+03   -0.49773E+03  3488   0.128E+02
DAV:   4    -0.494884249314E+03   -0.26716E+02   -0.26420E+02  3400   0.384E+01
DAV:   5    -0.495912978344E+03   -0.10287E+01   -0.10191E+01  4128   0.631E+00    0.334E+01
DAV:   6    -0.470694004359E+03    0.25219E+02   -0.24545E+01  2952   0.114E+01    0.194E+01
DAV:   7    -0.458035077498E+03    0.12659E+02   -0.16051E+01  2992   0.933E+00    0.101E+01
DAV:   8    -0.457476851202E+03    0.55823E+00   -0.46161E+00  2956   0.478E+00    0.380E+00
DAV:   9    -0.458651065935E+03   -0.11742E+01   -0.60916E-01  3476   0.179E+00    0.145E+00
DAV:  10    -0.458945680339E+03   -0.29461E+00   -0.17385E-01  2920   0.884E-01    0.938E-01
DAV:  11    -0.459255607720E+03   -0.30993E+00   -0.56733E-02  3156   0.428E-01    0.782E-01
DAV:  12    -0.459785463766E+03   -0.52986E+00   -0.21840E-01  2880   0.748E-01    0.527E-01
DAV:  13    -0.459790498223E+03   -0.50345E-02   -0.70814E-02  2876   0.486E-01    0.413E-01
DAV:  14    -0.460615780825E+03   -0.82528E+00   -0.56265E-02  2892   0.345E-01    0.282E-01
DAV:  15    -0.461341385548E+03   -0.72560E+00   -0.29417E-02  2904   0.244E-01    0.193E-01
DAV:  16    -0.461619010832E+03   -0.27763E+00   -0.35803E-03  2988   0.137E-01    0.157E-01
DAV:  17    -0.461921161230E+03   -0.30215E+00   -0.64138E-03  2756   0.148E-01    0.104E-01
DAV:  18    -0.462008144087E+03   -0.86983E-01   -0.32171E-03  2944   0.960E-02    0.773E-02
DAV:  19    -0.462033213323E+03   -0.25069E-01   -0.14425E-03  3032   0.691E-02    0.579E-02
DAV:  20    -0.462062183569E+03   -0.28970E-01   -0.94497E-04  2896   0.630E-02    0.398E-02
DAV:  21    -0.462099566320E+03   -0.37383E-01   -0.33214E-04  2900   0.485E-02    0.263E-02
DAV:  22    -0.462126827136E+03   -0.27261E-01   -0.21831E-04  2904   0.368E-02    0.132E-02
DAV:  23    -0.462130973080E+03   -0.41459E-02   -0.54808E-05  2904   0.226E-02    0.838E-03
DAV:  24    -0.462132235182E+03   -0.12621E-02   -0.35973E-05  2700   0.177E-02    0.510E-03
DAV:  25    -0.462132633136E+03   -0.39795E-03   -0.30471E-05  2512   0.155E-02    0.293E-03
DAV:  26    -0.462132717659E+03   -0.84522E-04   -0.15412E-05  2516   0.111E-02    0.190E-03
DAV:  27    -0.462132772825E+03   -0.55166E-04   -0.45748E-06  2432   0.634E-03    0.130E-03
DAV:  28    -0.462132839764E+03   -0.66939E-04   -0.25528E-06  2404   0.393E-03    0.819E-04
DAV:  29    -0.462132894218E+03   -0.54454E-04   -0.19431E-06  2200   0.245E-03    0.573E-04
DAV:  30    -0.462132913438E+03   -0.19219E-04   -0.42410E-07  1956   0.139E-03    0.411E-04
DAV:  31    -0.462132920827E+03   -0.73891E-05   -0.26245E-07  1952   0.955E-04    0.300E-04
DAV:  32    -0.462132922573E+03   -0.17461E-05   -0.11721E-07  2020   0.699E-04    0.231E-04
DAV:  33    -0.462132931145E+03   -0.85717E-05   -0.58579E-08  1988   0.529E-04    0.165E-04
DAV:  34    -0.462132943500E+03   -0.12355E-04   -0.24679E-08  2004   0.346E-04    0.131E-04
DAV:  35    -0.462132948472E+03   -0.49722E-05    0.40505E-09  2060   0.207E-04    0.119E-04
DAV:  36    -0.462132950402E+03   -0.19298E-05    0.15318E-08  2004   0.130E-04    0.111E-04
DAV:  37    -0.462132951609E+03   -0.12069E-05    0.17518E-08  1956   0.105E-04    0.108E-04
DAV:  38    -0.462132952213E+03   -0.60466E-06    0.18259E-08  1908   0.705E-05
   1 F= -.46213295E+03 E0= -.46212143E+03  d E =-.230400E-01  mag=     0.0000
