 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.196996490993E+04    0.19700E+04   -0.67737E+04  3232   0.106E+03
DAV:   2     0.440677129023E+02   -0.19259E+04   -0.17842E+04  4080   0.237E+02
DAV:   3    -0.467909872336E+03   -0.51198E+03   -0.50539E+03  3492   0.129E+02
DAV:   4    -0.495023712583E+03   -0.27114E+02   -0.26786E+02  3428   0.387E+01
DAV:   5    -0.496018497759E+03   -0.99479E+00   -0.98739E+00  4048   0.629E+00    0.334E+01
DAV:   6    -0.470812368079E+03    0.25206E+02   -0.24372E+01  2940   0.113E+01    0.194E+01
DAV:   7    -0.458150939048E+03    0.12661E+02   -0.15961E+01  3004   0.926E+00    0.101E+01
DAV:   8    -0.457588283393E+03    0.56266E+00   -0.46784E+00  3008   0.476E+00    0.380E+00
DAV:   9    -0.458774573458E+03   -0.11863E+01   -0.61270E-01  3484   0.178E+00    0.142E+00
DAV:  10    -0.459067082404E+03   -0.29251E+00   -0.18055E-01  2924   0.857E-01    0.932E-01
DAV:  11    -0.459376271774E+03   -0.30919E+00   -0.58646E-02  3220   0.417E-01    0.776E-01
DAV:  12    -0.459860960052E+03   -0.48469E+00   -0.23626E-01  2868   0.755E-01    0.513E-01
DAV:  13    -0.459922135441E+03   -0.61175E-01   -0.65882E-02  2932   0.459E-01    0.400E-01
DAV:  14    -0.460751142157E+03   -0.82901E+00   -0.56755E-02  2920   0.326E-01    0.274E-01
DAV:  15    -0.461482587280E+03   -0.73145E+00   -0.31456E-02  2908   0.239E-01    0.187E-01
DAV:  16    -0.461753891694E+03   -0.27130E+00   -0.32121E-03  3020   0.123E-01    0.153E-01
DAV:  17    -0.462029884572E+03   -0.27599E+00   -0.49365E-03  2800   0.131E-01    0.104E-01
DAV:  18    -0.462126262874E+03   -0.96378E-01   -0.41546E-03  2860   0.977E-02    0.755E-02
DAV:  19    -0.462151725853E+03   -0.25463E-01   -0.17843E-03  3052   0.680E-02    0.588E-02
DAV:  20    -0.462179076895E+03   -0.27351E-01   -0.11160E-03  2876   0.687E-02    0.414E-02
DAV:  21    -0.462222254800E+03   -0.43178E-01   -0.63788E-04  2892   0.629E-02    0.270E-02
DAV:  22    -0.462244611716E+03   -0.22357E-01   -0.42760E-04  2924   0.508E-02    0.145E-02
DAV:  23    -0.462247239399E+03   -0.26277E-02   -0.11059E-04  2912   0.290E-02    0.941E-03
DAV:  24    -0.462247529156E+03   -0.28976E-03   -0.76327E-05  2820   0.238E-02    0.610E-03
DAV:  25    -0.462247253772E+03    0.27538E-03   -0.53961E-05  2712   0.204E-02    0.432E-03
DAV:  26    -0.462247190723E+03    0.63049E-04   -0.29165E-05  2356   0.149E-02    0.323E-03
DAV:  27    -0.462247389325E+03   -0.19860E-03   -0.14169E-05  2500   0.101E-02    0.236E-03
DAV:  28    -0.462247768712E+03   -0.37939E-03   -0.71896E-06  2424   0.628E-03    0.165E-03
DAV:  29    -0.462248099509E+03   -0.33080E-03   -0.42499E-06  2328   0.408E-03    0.114E-03
DAV:  30    -0.462248250057E+03   -0.15055E-03   -0.12089E-06  2160   0.249E-03    0.792E-04
DAV:  31    -0.462248359856E+03   -0.10980E-03   -0.98442E-07  2052   0.198E-03    0.564E-04
DAV:  32    -0.462248385899E+03   -0.26042E-04   -0.43748E-07  2000   0.127E-03    0.476E-04
DAV:  33    -0.462248386669E+03   -0.76964E-06   -0.12852E-07  2040   0.839E-04
   1 F= -.46224839E+03 E0= -.46223745E+03  d E =-.218699E-01  mag=    -0.0008
