 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.193913819822E+04    0.19391E+04   -0.68102E+04  3256   0.106E+03
DAV:   2     0.369037614296E+02   -0.19022E+04   -0.17591E+04  4080   0.236E+02
DAV:   3    -0.468220594716E+03   -0.50512E+03   -0.49870E+03  3496   0.128E+02
DAV:   4    -0.494782331082E+03   -0.26562E+02   -0.26267E+02  3428   0.384E+01
DAV:   5    -0.495830240258E+03   -0.10479E+01   -0.10392E+01  4192   0.635E+00    0.334E+01
DAV:   6    -0.470558612061E+03    0.25272E+02   -0.24395E+01  2944   0.114E+01    0.194E+01
DAV:   7    -0.457898353691E+03    0.12660E+02   -0.16128E+01  3008   0.937E+00    0.101E+01
DAV:   8    -0.457355925313E+03    0.54243E+00   -0.47338E+00  3004   0.480E+00    0.383E+00
DAV:   9    -0.458530823355E+03   -0.11749E+01   -0.61533E-01  3620   0.178E+00    0.143E+00
DAV:  10    -0.458824546925E+03   -0.29372E+00   -0.17559E-01  2900   0.877E-01    0.937E-01
DAV:  11    -0.459133874500E+03   -0.30933E+00   -0.54465E-02  3180   0.418E-01    0.781E-01
DAV:  12    -0.459701622424E+03   -0.56775E+00   -0.21639E-01  2896   0.740E-01    0.529E-01
DAV:  13    -0.459710166901E+03   -0.85445E-02   -0.78857E-02  2828   0.502E-01    0.405E-01
DAV:  14    -0.460474732085E+03   -0.76457E+00   -0.54889E-02  2912   0.334E-01    0.280E-01
DAV:  15    -0.461205258835E+03   -0.73053E+00   -0.31579E-02  2880   0.243E-01    0.190E-01
DAV:  16    -0.461514011004E+03   -0.30875E+00   -0.38466E-03  3056   0.132E-01    0.154E-01
DAV:  17    -0.461783061856E+03   -0.26905E+00   -0.42924E-03  2836   0.128E-01    0.108E-01
DAV:  18    -0.461894244421E+03   -0.11118E+00   -0.44727E-03  2848   0.104E-01    0.764E-02
DAV:  19    -0.461919616753E+03   -0.25372E-01   -0.16904E-03  2988   0.698E-02    0.595E-02
DAV:  20    -0.461944469718E+03   -0.24853E-01   -0.10165E-03  2900   0.673E-02    0.423E-02
DAV:  21    -0.461987717312E+03   -0.43248E-01   -0.52704E-04  2892   0.560E-02    0.276E-02
DAV:  22    -0.462011544762E+03   -0.23827E-01   -0.31939E-04  2936   0.421E-02    0.150E-02
DAV:  23    -0.462014887327E+03   -0.33426E-02   -0.95756E-05  2920   0.258E-02    0.979E-03
DAV:  24    -0.462015209745E+03   -0.32242E-03   -0.48845E-05  2840   0.203E-02    0.650E-03
DAV:  25    -0.462014973326E+03    0.23642E-03   -0.48757E-05  2812   0.180E-02    0.435E-03
DAV:  26    -0.462014824971E+03    0.14836E-03   -0.28415E-05  2380   0.138E-02    0.329E-03
DAV:  27    -0.462015012845E+03   -0.18787E-03   -0.12335E-05  2456   0.101E-02    0.239E-03
DAV:  28    -0.462015517409E+03   -0.50456E-03   -0.93479E-06  2372   0.711E-03    0.159E-03
DAV:  29    -0.462015806313E+03   -0.28890E-03   -0.37580E-06  2392   0.449E-03    0.114E-03
DAV:  30    -0.462015965526E+03   -0.15921E-03   -0.11784E-06  2152   0.256E-03    0.790E-04
DAV:  31    -0.462016060384E+03   -0.94859E-04   -0.88499E-07  2084   0.181E-03    0.615E-04
DAV:  32    -0.462016071669E+03   -0.11284E-04   -0.33632E-07  2084   0.110E-03    0.533E-04
DAV:  33    -0.462016074771E+03   -0.31028E-05   -0.13042E-07  2020   0.929E-04    0.417E-04
DAV:  34    -0.462016109248E+03   -0.34477E-04   -0.16776E-07  1980   0.966E-04    0.272E-04
DAV:  35    -0.462016135079E+03   -0.25831E-04   -0.12123E-07  1948   0.754E-04    0.194E-04
DAV:  36    -0.462016152696E+03   -0.17617E-04   -0.10773E-07  1956   0.541E-04    0.156E-04
DAV:  37    -0.462016157731E+03   -0.50346E-05   -0.14734E-08  1952   0.336E-04    0.131E-04
DAV:  38    -0.462016160619E+03   -0.28884E-05    0.61939E-09  2004   0.197E-04    0.121E-04
DAV:  39    -0.462016162939E+03   -0.23192E-05    0.54762E-09  1920   0.141E-04    0.116E-04
DAV:  40    -0.462016164531E+03   -0.15925E-05    0.14842E-08  1888   0.942E-05    0.114E-04
DAV:  41    -0.462016165493E+03   -0.96174E-06    0.19266E-08  1884   0.694E-05
   1 F= -.46201617E+03 E0= -.46200458E+03  d E =-.231637E-01  mag=     0.0001
