 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      50 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.192227766647E+04    0.19223E+04   -0.65935E+04  3144   0.107E+03
DAV:   2     0.537667521029E+02   -0.18685E+04   -0.17360E+04  3944   0.236E+02
DAV:   3    -0.448478009048E+03   -0.50224E+03   -0.49773E+03  3352   0.130E+02
DAV:   4    -0.477040383019E+03   -0.28562E+02   -0.28134E+02  3304   0.402E+01
DAV:   5    -0.478172834377E+03   -0.11325E+01   -0.11214E+01  4088   0.661E+00    0.326E+01
DAV:   6    -0.454571798577E+03    0.23601E+02   -0.26249E+01  2808   0.127E+01    0.188E+01
DAV:   7    -0.443905166929E+03    0.10667E+02   -0.15435E+01  2880   0.980E+00    0.100E+01
DAV:   8    -0.443212323005E+03    0.69284E+00   -0.50433E+00  2960   0.530E+00    0.384E+00
DAV:   9    -0.443832329333E+03   -0.62001E+00   -0.69639E-01  3496   0.217E+00    0.190E+00
DAV:  10    -0.444279032956E+03   -0.44670E+00   -0.17307E-01  2792   0.109E+00    0.966E-01
DAV:  11    -0.444592730378E+03   -0.31370E+00   -0.78710E-02  3080   0.641E-01    0.767E-01
DAV:  12    -0.444893046089E+03   -0.30032E+00   -0.31955E-02  2848   0.404E-01    0.652E-01
DAV:  13    -0.445457449424E+03   -0.56440E+00   -0.12067E-01  2840   0.631E-01    0.462E-01
DAV:  14    -0.445451677154E+03    0.57723E-02   -0.78317E-02  2768   0.569E-01    0.338E-01
DAV:  15    -0.445982393588E+03   -0.53072E+00   -0.29237E-02  2920   0.294E-01    0.264E-01
DAV:  16    -0.446495054702E+03   -0.51266E+00   -0.19734E-02  2880   0.254E-01    0.171E-01
DAV:  17    -0.446816705011E+03   -0.32165E+00   -0.62273E-03  2864   0.164E-01    0.128E-01
DAV:  18    -0.447029275752E+03   -0.21257E+00   -0.39486E-03  2800   0.127E-01    0.913E-02
DAV:  19    -0.447153344043E+03   -0.12407E+00   -0.28492E-03  2768   0.901E-02    0.642E-02
DAV:  20    -0.447188154943E+03   -0.34811E-01   -0.98319E-04  2840   0.536E-02    0.458E-02
DAV:  21    -0.447202595976E+03   -0.14441E-01   -0.49760E-04  3008   0.364E-02    0.326E-02
DAV:  22    -0.447220673944E+03   -0.18078E-01   -0.12129E-04  2888   0.223E-02    0.227E-02
DAV:  23    -0.447244149927E+03   -0.23476E-01   -0.46042E-05  2880   0.167E-02    0.143E-02
DAV:  24    -0.447257249350E+03   -0.13099E-01   -0.20501E-05  2584   0.130E-02    0.903E-03
DAV:  25    -0.447261220722E+03   -0.39714E-02   -0.11460E-05  2400   0.959E-03    0.574E-03
DAV:  26    -0.447262964386E+03   -0.17437E-02   -0.24687E-05  2264   0.116E-02    0.365E-03
DAV:  27    -0.447263827224E+03   -0.86284E-03   -0.12627E-05  2184   0.103E-02    0.250E-03
DAV:  28    -0.447264294069E+03   -0.46684E-03   -0.63130E-06  2160   0.642E-03    0.153E-03
DAV:  29    -0.447264542344E+03   -0.24827E-03   -0.19524E-06  2232   0.391E-03    0.983E-04
DAV:  30    -0.447264649967E+03   -0.10762E-03   -0.56970E-07  1936   0.226E-03    0.715E-04
DAV:  31    -0.447264737606E+03   -0.87640E-04   -0.53817E-07  1944   0.154E-03    0.417E-04
DAV:  32    -0.447264773305E+03   -0.35699E-04   -0.24327E-07  1904   0.101E-03    0.264E-04
DAV:  33    -0.447264790054E+03   -0.16749E-04   -0.62055E-08  1944   0.608E-04    0.186E-04
DAV:  34    -0.447264799123E+03   -0.90688E-05   -0.33632E-08  1896   0.412E-04    0.136E-04
DAV:  35    -0.447264802327E+03   -0.32040E-05   -0.55421E-09  1856   0.260E-04    0.114E-04
DAV:  36    -0.447264803700E+03   -0.13729E-05    0.87376E-09  1848   0.166E-04    0.108E-04
DAV:  37    -0.447264804217E+03   -0.51758E-06    0.13925E-08  1760   0.995E-05
   1 F= -.44726480E+03 E0= -.44726128E+03  d E =-.704724E-02  mag=     0.8523
