 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      50 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.190435420267E+04    0.19044E+04   -0.66139E+04  3160   0.107E+03
DAV:   2     0.513866184643E+02   -0.18530E+04   -0.17185E+04  3944   0.235E+02
DAV:   3    -0.447784624962E+03   -0.49917E+03   -0.49485E+03  3344   0.130E+02
DAV:   4    -0.476109823112E+03   -0.28325E+02   -0.27838E+02  3360   0.401E+01
DAV:   5    -0.477216102590E+03   -0.11063E+01   -0.10927E+01  3936   0.672E+00    0.326E+01
DAV:   6    -0.453773659405E+03    0.23442E+02   -0.27728E+01  2872   0.126E+01    0.189E+01
DAV:   7    -0.443194072988E+03    0.10580E+02   -0.17927E+01  2912   0.104E+01    0.102E+01
DAV:   8    -0.442321483072E+03    0.87259E+00   -0.58258E+00  2904   0.580E+00    0.403E+00
DAV:   9    -0.442979148812E+03   -0.65767E+00   -0.95732E-01  3440   0.291E+00    0.200E+00
DAV:  10    -0.443353779988E+03   -0.37463E+00   -0.26408E-01  2752   0.137E+00    0.108E+00
DAV:  11    -0.443664149624E+03   -0.31037E+00   -0.75467E-02  3024   0.737E-01    0.791E-01
DAV:  12    -0.443987434009E+03   -0.32328E+00   -0.54698E-02  2800   0.522E-01    0.640E-01
DAV:  13    -0.444466120891E+03   -0.47869E+00   -0.72143E-02  2864   0.497E-01    0.487E-01
DAV:  14    -0.444586960171E+03   -0.12084E+00   -0.94168E-02  2776   0.567E-01    0.331E-01
DAV:  15    -0.445129743090E+03   -0.54278E+00   -0.41659E-02  2896   0.354E-01    0.225E-01
DAV:  16    -0.445568503343E+03   -0.43876E+00   -0.14831E-02  2952   0.210E-01    0.160E-01
DAV:  17    -0.445912214843E+03   -0.34371E+00   -0.65725E-03  2904   0.159E-01    0.114E-01
DAV:  18    -0.446129406830E+03   -0.21719E+00   -0.38883E-03  2840   0.119E-01    0.817E-02
DAV:  19    -0.446224212105E+03   -0.94805E-01   -0.17265E-03  2904   0.753E-02    0.595E-02
DAV:  20    -0.446256274125E+03   -0.32062E-01   -0.80115E-04  2848   0.474E-02    0.425E-02
DAV:  21    -0.446268528984E+03   -0.12255E-01   -0.45569E-04  2992   0.339E-02    0.296E-02
DAV:  22    -0.446285821684E+03   -0.17293E-01   -0.12977E-04  2848   0.224E-02    0.202E-02
DAV:  23    -0.446309082401E+03   -0.23261E-01   -0.46958E-05  2904   0.169E-02    0.116E-02
DAV:  24    -0.446318295923E+03   -0.92135E-02   -0.18041E-05  2592   0.134E-02    0.736E-03
DAV:  25    -0.446320849744E+03   -0.25538E-02   -0.11616E-05  2320   0.110E-02    0.501E-03
DAV:  26    -0.446322454247E+03   -0.16045E-02   -0.19340E-05  2256   0.113E-02    0.283E-03
DAV:  27    -0.446323074305E+03   -0.62006E-03   -0.73343E-06  2352   0.867E-03    0.186E-03
DAV:  28    -0.446323349109E+03   -0.27480E-03   -0.26168E-06  2352   0.547E-03    0.119E-03
DAV:  29    -0.446323502295E+03   -0.15319E-03   -0.10917E-06  1880   0.353E-03    0.800E-04
DAV:  30    -0.446323587357E+03   -0.85062E-04   -0.54609E-07  1984   0.207E-03    0.548E-04
DAV:  31    -0.446323638697E+03   -0.51339E-04   -0.38255E-07  1928   0.133E-03    0.337E-04
DAV:  32    -0.446323664557E+03   -0.25860E-04   -0.14994E-07  1944   0.851E-04    0.231E-04
DAV:  33    -0.446323677480E+03   -0.12923E-04   -0.57190E-08  1936   0.550E-04    0.163E-04
DAV:  34    -0.446323683815E+03   -0.63348E-05   -0.19477E-08  1912   0.360E-04    0.125E-04
DAV:  35    -0.446323685916E+03   -0.21014E-05    0.31041E-09  1872   0.227E-04    0.114E-04
DAV:  36    -0.446323687010E+03   -0.10934E-05    0.10182E-08  1808   0.147E-04    0.109E-04
DAV:  37    -0.446323687419E+03   -0.40874E-06    0.14418E-08  1800   0.894E-05
   1 F= -.44632369E+03 E0= -.44632363E+03  d E =-.117032E-03  mag=     0.9993
