 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      49 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.184768969491E+04    0.18477E+04   -0.64184E+04  3128   0.105E+03
DAV:   2     0.455913459643E+02   -0.18021E+04   -0.16540E+04  3952   0.230E+02
DAV:   3    -0.438696662126E+03   -0.48429E+03   -0.48063E+03  3352   0.127E+02
DAV:   4    -0.465334902802E+03   -0.26638E+02   -0.26337E+02  3296   0.388E+01
DAV:   5    -0.466337737977E+03   -0.10028E+01   -0.99544E+00  3920   0.628E+00    0.315E+01
DAV:   6    -0.443759298834E+03    0.22578E+02   -0.22803E+01  2912   0.126E+01    0.182E+01
DAV:   7    -0.432801643621E+03    0.10958E+02   -0.15092E+01  3000   0.961E+00    0.974E+00
DAV:   8    -0.432339450252E+03    0.46219E+00   -0.40844E+00  3016   0.461E+00    0.369E+00
DAV:   9    -0.433530798534E+03   -0.11913E+01   -0.61163E-01  3672   0.203E+00    0.154E+00
DAV:  10    -0.434039424033E+03   -0.50863E+00   -0.15846E-01  2824   0.979E-01    0.991E-01
DAV:  11    -0.434452858310E+03   -0.41343E+00   -0.54449E-02  3112   0.510E-01    0.827E-01
DAV:  12    -0.435235395524E+03   -0.78254E+00   -0.16597E-01  2824   0.712E-01    0.611E-01
DAV:  13    -0.435328274821E+03   -0.92879E-01   -0.10950E-01  2752   0.576E-01    0.448E-01
DAV:  14    -0.435745672664E+03   -0.41740E+00   -0.57516E-02  2872   0.416E-01    0.304E-01
DAV:  15    -0.436481585490E+03   -0.73591E+00   -0.33229E-02  2872   0.266E-01    0.203E-01
DAV:  16    -0.436876823558E+03   -0.39524E+00   -0.75404E-03  2912   0.172E-01    0.151E-01
DAV:  17    -0.437186046217E+03   -0.30922E+00   -0.62642E-03  2792   0.152E-01    0.102E-01
DAV:  18    -0.437304409434E+03   -0.11836E+00   -0.26631E-03  2848   0.100E-01    0.744E-02
DAV:  19    -0.437345999828E+03   -0.41590E-01   -0.13215E-03  2840   0.711E-02    0.539E-02
DAV:  20    -0.437357569645E+03   -0.11570E-01   -0.58067E-04  2776   0.528E-02    0.383E-02
DAV:  21    -0.437369967686E+03   -0.12398E-01   -0.21004E-04  2816   0.379E-02    0.268E-02
DAV:  22    -0.437396093191E+03   -0.26126E-01   -0.10027E-04  2792   0.322E-02    0.167E-02
DAV:  23    -0.437415746178E+03   -0.19653E-01   -0.51799E-05  2832   0.250E-02    0.954E-03
DAV:  24    -0.437420116267E+03   -0.43701E-02   -0.29358E-05  2472   0.181E-02    0.651E-03
DAV:  25    -0.437422630044E+03   -0.25138E-02   -0.40377E-05  2360   0.174E-02    0.383E-03
DAV:  26    -0.437423629158E+03   -0.99911E-03   -0.21588E-05  2272   0.138E-02    0.238E-03
DAV:  27    -0.437424003450E+03   -0.37429E-03   -0.51296E-06  2200   0.740E-03    0.152E-03
DAV:  28    -0.437424241247E+03   -0.23780E-03   -0.22410E-06  2208   0.432E-03    0.113E-03
DAV:  29    -0.437424353630E+03   -0.11238E-03   -0.93211E-07  2184   0.247E-03    0.679E-04
DAV:  30    -0.437424412556E+03   -0.58926E-04   -0.33068E-07  1840   0.146E-03    0.436E-04
DAV:  31    -0.437424455302E+03   -0.42746E-04   -0.23149E-07  1888   0.956E-04    0.358E-04
DAV:  32    -0.437424470904E+03   -0.15601E-04   -0.63323E-08  1896   0.584E-04    0.189E-04
DAV:  33    -0.437424475672E+03   -0.47685E-05   -0.71263E-09  1976   0.387E-04    0.146E-04
DAV:  34    -0.437424478226E+03   -0.25543E-05    0.65515E-09  1840   0.226E-04    0.138E-04
DAV:  35    -0.437424479420E+03   -0.11933E-05    0.15279E-08  1888   0.147E-04    0.122E-04
DAV:  36    -0.437424479855E+03   -0.43527E-06    0.17761E-08  1888   0.935E-05
   1 F= -.43742448E+03 E0= -.43742126E+03  d E =-.644822E-02  mag=     0.0000
