 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      49 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.185035258184E+04    0.18504E+04   -0.64163E+04  3120   0.105E+03
DAV:   2     0.454557908016E+02   -0.18049E+04   -0.16565E+04  3960   0.231E+02
DAV:   3    -0.438712870149E+03   -0.48417E+03   -0.48086E+03  3336   0.127E+02
DAV:   4    -0.465223501992E+03   -0.26511E+02   -0.26197E+02  3312   0.388E+01
DAV:   5    -0.466285950546E+03   -0.10624E+01   -0.10543E+01  4072   0.643E+00    0.315E+01
DAV:   6    -0.443695019621E+03    0.22591E+02   -0.22812E+01  2904   0.126E+01    0.181E+01
DAV:   7    -0.432672780599E+03    0.11022E+02   -0.15244E+01  3056   0.966E+00    0.971E+00
DAV:   8    -0.432242266912E+03    0.43051E+00   -0.40582E+00  2976   0.459E+00    0.368E+00
DAV:   9    -0.433436519522E+03   -0.11943E+01   -0.60928E-01  3624   0.205E+00    0.155E+00
DAV:  10    -0.433937466991E+03   -0.50095E+00   -0.16266E-01  2864   0.101E+00    0.994E-01
DAV:  11    -0.434351903917E+03   -0.41444E+00   -0.55396E-02  3088   0.520E-01    0.829E-01
DAV:  12    -0.435123769134E+03   -0.77187E+00   -0.16343E-01  2776   0.711E-01    0.612E-01
DAV:  13    -0.435236876643E+03   -0.11311E+00   -0.10684E-01  2760   0.573E-01    0.452E-01
DAV:  14    -0.435651723718E+03   -0.41485E+00   -0.60764E-02  2864   0.429E-01    0.303E-01
DAV:  15    -0.436378551632E+03   -0.72683E+00   -0.32705E-02  2824   0.266E-01    0.204E-01
DAV:  16    -0.436774075566E+03   -0.39552E+00   -0.76261E-03  2920   0.172E-01    0.151E-01
DAV:  17    -0.437084594020E+03   -0.31052E+00   -0.60826E-03  2776   0.152E-01    0.102E-01
DAV:  18    -0.437202987561E+03   -0.11839E+00   -0.26290E-03  2840   0.101E-01    0.750E-02
DAV:  19    -0.437246144338E+03   -0.43157E-01   -0.13522E-03  2840   0.732E-02    0.541E-02
DAV:  20    -0.437258146552E+03   -0.12002E-01   -0.58585E-04  2792   0.555E-02    0.386E-02
DAV:  21    -0.437269943125E+03   -0.11797E-01   -0.22169E-04  2840   0.413E-02    0.273E-02
DAV:  22    -0.437296019117E+03   -0.26076E-01   -0.11242E-04  2792   0.356E-02    0.169E-02
DAV:  23    -0.437316255226E+03   -0.20236E-01   -0.58763E-05  2840   0.276E-02    0.963E-03
DAV:  24    -0.437320570064E+03   -0.43148E-02   -0.29522E-05  2520   0.190E-02    0.664E-03
DAV:  25    -0.437323255814E+03   -0.26858E-02   -0.44595E-05  2408   0.179E-02    0.385E-03
DAV:  26    -0.437324235221E+03   -0.97941E-03   -0.21614E-05  2288   0.144E-02    0.243E-03
DAV:  27    -0.437324619023E+03   -0.38380E-03   -0.51318E-06  2184   0.756E-03    0.152E-03
DAV:  28    -0.437324852699E+03   -0.23368E-03   -0.20956E-06  2240   0.422E-03    0.117E-03
DAV:  29    -0.437324965468E+03   -0.11277E-03   -0.85192E-07  2160   0.229E-03    0.652E-04
DAV:  30    -0.437325022233E+03   -0.56765E-04   -0.30735E-07  1872   0.142E-03    0.446E-04
DAV:  31    -0.437325064122E+03   -0.41889E-04   -0.21663E-07  1912   0.953E-04    0.345E-04
DAV:  32    -0.437325079059E+03   -0.14937E-04   -0.61039E-08  1936   0.600E-04    0.182E-04
DAV:  33    -0.437325083863E+03   -0.48035E-05   -0.81028E-09  1936   0.394E-04    0.145E-04
DAV:  34    -0.437325086425E+03   -0.25623E-05    0.75438E-09  1848   0.226E-04    0.133E-04
DAV:  35    -0.437325087544E+03   -0.11186E-05    0.15520E-08  1896   0.143E-04    0.120E-04
DAV:  36    -0.437325087962E+03   -0.41873E-06    0.17761E-08  1904   0.890E-05
   1 F= -.43732509E+03 E0= -.43732185E+03  d E =-.647743E-02  mag=     0.0000
