 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      49 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.184641861502E+04    0.18464E+04   -0.64246E+04  3144   0.105E+03
DAV:   2     0.457847970526E+02   -0.18006E+04   -0.16546E+04  3960   0.230E+02
DAV:   3    -0.438036365028E+03   -0.48382E+03   -0.47997E+03  3344   0.127E+02
DAV:   4    -0.464905912964E+03   -0.26870E+02   -0.26543E+02  3336   0.389E+01
DAV:   5    -0.466084451820E+03   -0.11785E+01   -0.11653E+01  4192   0.667E+00    0.315E+01
DAV:   6    -0.443333437217E+03    0.22751E+02   -0.22891E+01  2880   0.127E+01    0.182E+01
DAV:   7    -0.432332201324E+03    0.11001E+02   -0.15139E+01  3040   0.965E+00    0.980E+00
DAV:   8    -0.431841784419E+03    0.49042E+00   -0.41254E+00  2976   0.465E+00    0.371E+00
DAV:   9    -0.432991422743E+03   -0.11496E+01   -0.57091E-01  3648   0.200E+00    0.160E+00
DAV:  10    -0.433503315587E+03   -0.51189E+00   -0.16522E-01  2864   0.104E+00    0.100E+00
DAV:  11    -0.433921560528E+03   -0.41824E+00   -0.52874E-02  3016   0.521E-01    0.832E-01
DAV:  12    -0.434682599528E+03   -0.76104E+00   -0.15614E-01  2800   0.696E-01    0.620E-01
DAV:  13    -0.434818159950E+03   -0.13556E+00   -0.11374E-01  2744   0.590E-01    0.454E-01
DAV:  14    -0.435191581573E+03   -0.37342E+00   -0.58706E-02  2832   0.431E-01    0.310E-01
DAV:  15    -0.435942684576E+03   -0.75110E+00   -0.36462E-02  2888   0.276E-01    0.207E-01
DAV:  16    -0.436339965278E+03   -0.39728E+00   -0.74340E-03  2952   0.169E-01    0.154E-01
DAV:  17    -0.436653032195E+03   -0.31307E+00   -0.59972E-03  2760   0.153E-01    0.106E-01
DAV:  18    -0.436786984764E+03   -0.13395E+00   -0.29835E-03  2840   0.103E-01    0.762E-02
DAV:  19    -0.436832614732E+03   -0.45630E-01   -0.14135E-03  2888   0.724E-02    0.551E-02
DAV:  20    -0.436844909498E+03   -0.12295E-01   -0.63210E-04  2792   0.556E-02    0.394E-02
DAV:  21    -0.436856677081E+03   -0.11768E-01   -0.24129E-04  2864   0.426E-02    0.278E-02
DAV:  22    -0.436881147550E+03   -0.24470E-01   -0.11825E-04  2808   0.365E-02    0.175E-02
DAV:  23    -0.436903151154E+03   -0.22004E-01   -0.64596E-05  2872   0.295E-02    0.999E-03
DAV:  24    -0.436907587626E+03   -0.44365E-02   -0.33679E-05  2584   0.216E-02    0.708E-03
DAV:  25    -0.436910531684E+03   -0.29441E-02   -0.48554E-05  2536   0.203E-02    0.404E-03
DAV:  26    -0.436911666459E+03   -0.11348E-02   -0.24300E-05  2384   0.163E-02    0.261E-03
DAV:  27    -0.436912084988E+03   -0.41853E-03   -0.64381E-06  2336   0.896E-03    0.165E-03
DAV:  28    -0.436912350852E+03   -0.26586E-03   -0.26976E-06  2240   0.522E-03    0.116E-03
DAV:  29    -0.436912485402E+03   -0.13455E-03   -0.11937E-06  2224   0.310E-03    0.790E-04
DAV:  30    -0.436912555297E+03   -0.69895E-04   -0.46647E-07  1904   0.187E-03    0.437E-04
DAV:  31    -0.436912600609E+03   -0.45312E-04   -0.26927E-07  1896   0.118E-03    0.398E-04
DAV:  32    -0.436912620851E+03   -0.20242E-04   -0.97376E-08  1912   0.751E-04    0.223E-04
DAV:  33    -0.436912626539E+03   -0.56883E-05   -0.16809E-08  1960   0.478E-04    0.142E-04
DAV:  34    -0.436912629624E+03   -0.30852E-05    0.25448E-09  1872   0.277E-04    0.140E-04
DAV:  35    -0.436912631032E+03   -0.14077E-05    0.12952E-08  1880   0.178E-04    0.120E-04
DAV:  36    -0.436912631571E+03   -0.53881E-06    0.16519E-08  1896   0.113E-04
   1 F= -.43691263E+03 E0= -.43690942E+03  d E =-.642281E-02  mag=     0.0000
