 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      49 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.185966246988E+04    0.18597E+04   -0.64035E+04  3120   0.105E+03
DAV:   2     0.484734691943E+02   -0.18112E+04   -0.16655E+04  3976   0.231E+02
DAV:   3    -0.438670024932E+03   -0.48714E+03   -0.48361E+03  3344   0.127E+02
DAV:   4    -0.465415759423E+03   -0.26746E+02   -0.26465E+02  3320   0.391E+01
DAV:   5    -0.466387480182E+03   -0.97172E+00   -0.96453E+00  3904   0.614E+00    0.315E+01
DAV:   6    -0.443844512880E+03    0.22543E+02   -0.22681E+01  2896   0.126E+01    0.181E+01
DAV:   7    -0.432873221540E+03    0.10971E+02   -0.15234E+01  3008   0.963E+00    0.971E+00
DAV:   8    -0.432434373556E+03    0.43885E+00   -0.40112E+00  2976   0.455E+00    0.369E+00
DAV:   9    -0.433638099266E+03   -0.12037E+01   -0.61773E-01  3688   0.202E+00    0.152E+00
DAV:  10    -0.434143305394E+03   -0.50521E+00   -0.15143E-01  2792   0.947E-01    0.987E-01
DAV:  11    -0.434554209823E+03   -0.41090E+00   -0.53117E-02  3192   0.500E-01    0.826E-01
DAV:  12    -0.435347350401E+03   -0.79314E+00   -0.17000E-01  2808   0.714E-01    0.609E-01
DAV:  13    -0.435412946178E+03   -0.65596E-01   -0.11346E-01  2744   0.577E-01    0.443E-01
DAV:  14    -0.435872622743E+03   -0.45968E+00   -0.57596E-02  2824   0.406E-01    0.300E-01
DAV:  15    -0.436601474339E+03   -0.72885E+00   -0.31832E-02  2848   0.261E-01    0.201E-01
DAV:  16    -0.436995718179E+03   -0.39424E+00   -0.75767E-03  2872   0.173E-01    0.149E-01
DAV:  17    -0.437297867312E+03   -0.30215E+00   -0.63515E-03  2704   0.151E-01    0.997E-02
DAV:  18    -0.437408797142E+03   -0.11093E+00   -0.25361E-03  2848   0.981E-02    0.735E-02
DAV:  19    -0.437447973708E+03   -0.39177E-01   -0.12389E-03  2832   0.693E-02    0.535E-02
DAV:  20    -0.437459265416E+03   -0.11292E-01   -0.57074E-04  2776   0.514E-02    0.378E-02
DAV:  21    -0.437471955104E+03   -0.12690E-01   -0.19933E-04  2792   0.353E-02    0.263E-02
DAV:  22    -0.437499694458E+03   -0.27739E-01   -0.89246E-05  2736   0.282E-02    0.161E-02
DAV:  23    -0.437517401771E+03   -0.17707E-01   -0.40547E-05  2832   0.212E-02    0.938E-03
DAV:  24    -0.437521725778E+03   -0.43240E-02   -0.27898E-05  2392   0.159E-02    0.626E-03
DAV:  25    -0.437524083284E+03   -0.23575E-02   -0.32818E-05  2320   0.152E-02    0.375E-03
DAV:  26    -0.437525011311E+03   -0.92803E-03   -0.17071E-05  2272   0.115E-02    0.228E-03
DAV:  27    -0.437525372156E+03   -0.36084E-03   -0.44431E-06  2160   0.636E-03    0.149E-03
DAV:  28    -0.437525599028E+03   -0.22687E-03   -0.20361E-06  2168   0.379E-03    0.110E-03
DAV:  29    -0.437525702850E+03   -0.10382E-03   -0.81386E-07  2120   0.218E-03    0.605E-04
DAV:  30    -0.437525756203E+03   -0.53352E-04   -0.27122E-07  1840   0.131E-03    0.448E-04
DAV:  31    -0.437525797063E+03   -0.40861E-04   -0.20195E-07  1840   0.845E-04    0.316E-04
DAV:  32    -0.437525810587E+03   -0.13524E-04   -0.54217E-08  1912   0.527E-04    0.169E-04
DAV:  33    -0.437525815126E+03   -0.45383E-05   -0.61611E-09  1904   0.352E-04    0.151E-04
DAV:  34    -0.437525817481E+03   -0.23551E-05    0.83119E-09  1840   0.204E-04    0.132E-04
DAV:  35    -0.437525818539E+03   -0.10579E-05    0.16065E-08  1824   0.135E-04    0.123E-04
DAV:  36    -0.437525818934E+03   -0.39572E-06    0.18413E-08  1824   0.833E-05
   1 F= -.43752582E+03 E0= -.43752258E+03  d E =-.647748E-02  mag=     0.0000
