 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      49 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.186410554894E+04    0.18641E+04   -0.64070E+04  3120   0.105E+03
DAV:   2     0.503448659109E+02   -0.18138E+04   -0.16700E+04  3976   0.231E+02
DAV:   3    -0.437486126540E+03   -0.48783E+03   -0.48300E+03  3328   0.127E+02
DAV:   4    -0.464718548843E+03   -0.27232E+02   -0.26926E+02  3400   0.393E+01
DAV:   5    -0.465897501121E+03   -0.11790E+01   -0.11690E+01  4112   0.669E+00    0.315E+01
DAV:   6    -0.443096494330E+03    0.22801E+02   -0.23234E+01  2856   0.127E+01    0.182E+01
DAV:   7    -0.432092402465E+03    0.11004E+02   -0.14986E+01  3008   0.954E+00    0.979E+00
DAV:   8    -0.431577669775E+03    0.51473E+00   -0.41010E+00  2992   0.462E+00    0.371E+00
DAV:   9    -0.432740174568E+03   -0.11625E+01   -0.54959E-01  3616   0.191E+00    0.160E+00
DAV:  10    -0.433244136565E+03   -0.50396E+00   -0.15536E-01  2824   0.985E-01    0.999E-01
DAV:  11    -0.433688581055E+03   -0.44444E+00   -0.53395E-02  2960   0.506E-01    0.826E-01
DAV:  12    -0.434453229817E+03   -0.76465E+00   -0.16561E-01  2824   0.695E-01    0.612E-01
DAV:  13    -0.434562555825E+03   -0.10933E+00   -0.12141E-01  2752   0.593E-01    0.443E-01
DAV:  14    -0.435020128186E+03   -0.45757E+00   -0.60533E-02  2848   0.417E-01    0.299E-01
DAV:  15    -0.435740243501E+03   -0.72012E+00   -0.33079E-02  2896   0.256E-01    0.203E-01
DAV:  16    -0.436127886266E+03   -0.38764E+00   -0.71279E-03  2944   0.162E-01    0.151E-01
DAV:  17    -0.436431138264E+03   -0.30325E+00   -0.59249E-03  2800   0.144E-01    0.103E-01
DAV:  18    -0.436554906751E+03   -0.12377E+00   -0.29456E-03  2808   0.951E-02    0.750E-02
DAV:  19    -0.436598221988E+03   -0.43315E-01   -0.15800E-03  2856   0.689E-02    0.536E-02
DAV:  20    -0.436609034913E+03   -0.10813E-01   -0.63020E-04  2792   0.506E-02    0.380E-02
DAV:  21    -0.436622381925E+03   -0.13347E-01   -0.22260E-04  2840   0.375E-02    0.267E-02
DAV:  22    -0.436649164115E+03   -0.26782E-01   -0.11398E-04  2784   0.316E-02    0.163E-02
DAV:  23    -0.436667816584E+03   -0.18652E-01   -0.59284E-05  2896   0.255E-02    0.967E-03
DAV:  24    -0.436671921062E+03   -0.41045E-02   -0.30901E-05  2504   0.192E-02    0.680E-03
DAV:  25    -0.436674650827E+03   -0.27298E-02   -0.44187E-05  2512   0.184E-02    0.389E-03
DAV:  26    -0.436675788824E+03   -0.11380E-02   -0.23643E-05  2408   0.150E-02    0.242E-03
DAV:  27    -0.436676154561E+03   -0.36574E-03   -0.59558E-06  2272   0.783E-03    0.159E-03
DAV:  28    -0.436676416377E+03   -0.26182E-03   -0.30674E-06  2248   0.460E-03    0.109E-03
DAV:  29    -0.436676539384E+03   -0.12301E-03   -0.11591E-06  2216   0.279E-03    0.705E-04
DAV:  30    -0.436676607307E+03   -0.67923E-04   -0.49126E-07  1880   0.178E-03    0.440E-04
DAV:  31    -0.436676652898E+03   -0.45591E-04   -0.29664E-07  1904   0.124E-03    0.341E-04
DAV:  32    -0.436676668432E+03   -0.15534E-04   -0.83770E-08  1952   0.821E-04    0.199E-04
DAV:  33    -0.436676674444E+03   -0.60120E-05   -0.19759E-08  1880   0.509E-04    0.148E-04
DAV:  34    -0.436676677266E+03   -0.28218E-05   -0.13108E-09  1928   0.315E-04    0.137E-04
DAV:  35    -0.436676678600E+03   -0.13344E-05    0.11991E-08  1856   0.201E-04    0.121E-04
DAV:  36    -0.436676679134E+03   -0.53392E-06    0.16546E-08  1872   0.121E-04
   1 F= -.43667668E+03 E0= -.43667349E+03  d E =-.637234E-02  mag=     0.0000
