 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.194204855430E+04    0.19420E+04   -0.67624E+04  3240   0.106E+03
DAV:   2     0.418595288623E+02   -0.19002E+04   -0.17562E+04  4072   0.236E+02
DAV:   3    -0.463062061308E+03   -0.50492E+03   -0.50100E+03  3484   0.128E+02
DAV:   4    -0.489649325830E+03   -0.26587E+02   -0.26302E+02  3380   0.387E+01
DAV:   5    -0.490531367209E+03   -0.88204E+00   -0.87555E+00  3632   0.606E+00    0.329E+01
DAV:   6    -0.465437057565E+03    0.25094E+02   -0.25054E+01  2988   0.125E+01    0.190E+01
DAV:   7    -0.453367248040E+03    0.12070E+02   -0.17194E+01  3048   0.100E+01    0.992E+00
DAV:   8    -0.452765001775E+03    0.60225E+00   -0.44282E+00  3024   0.474E+00    0.387E+00
DAV:   9    -0.453809791076E+03   -0.10448E+01   -0.58701E-01  3432   0.201E+00    0.144E+00
DAV:  10    -0.454154454795E+03   -0.34466E+00   -0.18752E-01  2824   0.102E+00    0.981E-01
DAV:  11    -0.454459646604E+03   -0.30519E+00   -0.49298E-02  3304   0.485E-01    0.836E-01
DAV:  12    -0.455181883768E+03   -0.72224E+00   -0.20985E-01  2828   0.810E-01    0.593E-01
DAV:  13    -0.455177978709E+03    0.39051E-02   -0.12649E-01  2796   0.641E-01    0.429E-01
DAV:  14    -0.455793187218E+03   -0.61521E+00   -0.59207E-02  2892   0.420E-01    0.292E-01
DAV:  15    -0.456501990813E+03   -0.70880E+00   -0.31831E-02  2952   0.279E-01    0.200E-01
DAV:  16    -0.456901061228E+03   -0.39907E+00   -0.81389E-03  2968   0.177E-01    0.151E-01
DAV:  17    -0.457235723702E+03   -0.33466E+00   -0.67224E-03  2900   0.155E-01    0.995E-02
DAV:  18    -0.457350244856E+03   -0.11452E+00   -0.24036E-03  2972   0.951E-02    0.744E-02
DAV:  19    -0.457390531281E+03   -0.40286E-01   -0.12290E-03  3056   0.725E-02    0.549E-02
DAV:  20    -0.457405178050E+03   -0.14647E-01   -0.78959E-04  2980   0.636E-02    0.376E-02
DAV:  21    -0.457421062081E+03   -0.15884E-01   -0.36122E-04  2972   0.539E-02    0.255E-02
DAV:  22    -0.457449604648E+03   -0.28543E-01   -0.19582E-04  2912   0.474E-02    0.151E-02
DAV:  23    -0.457463658583E+03   -0.14054E-01   -0.10095E-04  2896   0.378E-02    0.949E-03
DAV:  24    -0.457467859882E+03   -0.42013E-02   -0.56699E-05  2608   0.263E-02    0.624E-03
DAV:  25    -0.457470029641E+03   -0.21698E-02   -0.42462E-05  2472   0.212E-02    0.372E-03
DAV:  26    -0.457470909792E+03   -0.88015E-03   -0.13851E-05  2472   0.120E-02    0.244E-03
DAV:  27    -0.457471308168E+03   -0.39838E-03   -0.35829E-06  2360   0.590E-03    0.150E-03
DAV:  28    -0.457471542652E+03   -0.23448E-03   -0.17350E-06  2256   0.340E-03    0.100E-03
DAV:  29    -0.457471653945E+03   -0.11129E-03   -0.60410E-07  2032   0.194E-03    0.662E-04
DAV:  30    -0.457471729284E+03   -0.75340E-04   -0.47630E-07  1988   0.138E-03    0.417E-04
DAV:  31    -0.457471768276E+03   -0.38992E-04   -0.22571E-07  2000   0.101E-03    0.278E-04
DAV:  32    -0.457471786760E+03   -0.18484E-04   -0.86026E-08  1992   0.696E-04    0.185E-04
DAV:  33    -0.457471793816E+03   -0.70567E-05   -0.27115E-08  2004   0.441E-04    0.151E-04
DAV:  34    -0.457471796166E+03   -0.23499E-05    0.16314E-09  1956   0.258E-04    0.136E-04
DAV:  35    -0.457471797235E+03   -0.10687E-05    0.11634E-08  1920   0.158E-04    0.131E-04
DAV:  36    -0.457471797738E+03   -0.50277E-06    0.15516E-08  1848   0.102E-04
   1 F= -.45747180E+03 E0= -.45746841E+03  d E =-.677426E-02  mag=     0.2975
