 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.192693988894E+04    0.19269E+04   -0.67781E+04  3256   0.106E+03
DAV:   2     0.398029198776E+02   -0.18871E+04   -0.17451E+04  4080   0.235E+02
DAV:   3    -0.462810897092E+03   -0.50261E+03   -0.49805E+03  3468   0.128E+02
DAV:   4    -0.489625512649E+03   -0.26815E+02   -0.26505E+02  3384   0.387E+01
DAV:   5    -0.490531286056E+03   -0.90577E+00   -0.89907E+00  3688   0.608E+00    0.329E+01
DAV:   6    -0.465426497454E+03    0.25105E+02   -0.25022E+01  2992   0.125E+01    0.190E+01
DAV:   7    -0.453375730793E+03    0.12051E+02   -0.17072E+01  3036   0.996E+00    0.997E+00
DAV:   8    -0.452746581795E+03    0.62915E+00   -0.44365E+00  3056   0.474E+00    0.387E+00
DAV:   9    -0.453793567887E+03   -0.10470E+01   -0.57600E-01  3456   0.198E+00    0.144E+00
DAV:  10    -0.454132357780E+03   -0.33879E+00   -0.18312E-01  2792   0.100E+00    0.981E-01
DAV:  11    -0.454442063447E+03   -0.30971E+00   -0.49676E-02  3336   0.482E-01    0.836E-01
DAV:  12    -0.455169127699E+03   -0.72706E+00   -0.21288E-01  2824   0.813E-01    0.592E-01
DAV:  13    -0.455149832835E+03    0.19295E-01   -0.12524E-01  2796   0.638E-01    0.427E-01
DAV:  14    -0.455780056080E+03   -0.63022E+00   -0.57755E-02  2876   0.410E-01    0.292E-01
DAV:  15    -0.456485441397E+03   -0.70539E+00   -0.31298E-02  2960   0.276E-01    0.200E-01
DAV:  16    -0.456885817268E+03   -0.40038E+00   -0.81427E-03  2952   0.178E-01    0.150E-01
DAV:  17    -0.457223151780E+03   -0.33733E+00   -0.69027E-03  2924   0.155E-01    0.987E-02
DAV:  18    -0.457333671369E+03   -0.11052E+00   -0.22603E-03  2952   0.931E-02    0.742E-02
DAV:  19    -0.457373591854E+03   -0.39920E-01   -0.11839E-03  3040   0.714E-02    0.547E-02
DAV:  20    -0.457388038299E+03   -0.14446E-01   -0.74498E-04  2996   0.611E-02    0.376E-02
DAV:  21    -0.457404149811E+03   -0.16112E-01   -0.33213E-04  2984   0.506E-02    0.254E-02
DAV:  22    -0.457432471742E+03   -0.28322E-01   -0.16461E-04  2916   0.432E-02    0.152E-02
DAV:  23    -0.457446515126E+03   -0.14043E-01   -0.85110E-05  2884   0.343E-02    0.949E-03
DAV:  24    -0.457450975178E+03   -0.44601E-02   -0.58065E-05  2544   0.257E-02    0.613E-03
DAV:  25    -0.457453066949E+03   -0.20918E-02   -0.43245E-05  2432   0.216E-02    0.368E-03
DAV:  26    -0.457453944941E+03   -0.87799E-03   -0.14694E-05  2416   0.125E-02    0.240E-03
DAV:  27    -0.457454335322E+03   -0.39038E-03   -0.40103E-06  2296   0.628E-03    0.148E-03
DAV:  28    -0.457454563671E+03   -0.22835E-03   -0.17238E-06  2228   0.353E-03    0.989E-04
DAV:  29    -0.457454673846E+03   -0.11018E-03   -0.63480E-07  2068   0.193E-03    0.652E-04
DAV:  30    -0.457454746405E+03   -0.72559E-04   -0.42182E-07  2004   0.128E-03    0.412E-04
DAV:  31    -0.457454785724E+03   -0.39318E-04   -0.21121E-07  2028   0.940E-04    0.271E-04
DAV:  32    -0.457454802557E+03   -0.16834E-04   -0.74311E-08  1992   0.650E-04    0.184E-04
DAV:  33    -0.457454809336E+03   -0.67785E-05   -0.24079E-08  1992   0.416E-04    0.150E-04
DAV:  34    -0.457454811648E+03   -0.23127E-05    0.20927E-09  1980   0.251E-04    0.136E-04
DAV:  35    -0.457454812670E+03   -0.10218E-05    0.12466E-08  1936   0.154E-04    0.131E-04
DAV:  36    -0.457454813162E+03   -0.49183E-06    0.15840E-08  1872   0.101E-04
   1 F= -.45745481E+03 E0= -.45745142E+03  d E =-.678717E-02  mag=     0.2973
