 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li
 POSCAR found :  2 types and      51 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.194423080247E+04    0.19442E+04   -0.67590E+04  3232   0.106E+03
DAV:   2     0.427427066307E+02   -0.19015E+04   -0.17578E+04  4080   0.237E+02
DAV:   3    -0.462530745121E+03   -0.50527E+03   -0.50050E+03  3440   0.129E+02
DAV:   4    -0.489613016764E+03   -0.27082E+02   -0.26787E+02  3384   0.390E+01
DAV:   5    -0.490540357042E+03   -0.92734E+00   -0.92044E+00  3704   0.613E+00    0.330E+01
DAV:   6    -0.465423544400E+03    0.25117E+02   -0.24999E+01  2976   0.125E+01    0.190E+01
DAV:   7    -0.453383560683E+03    0.12040E+02   -0.17044E+01  3028   0.995E+00    0.999E+00
DAV:   8    -0.452751023774E+03    0.63254E+00   -0.44885E+00  3060   0.475E+00    0.388E+00
DAV:   9    -0.453795412000E+03   -0.10444E+01   -0.57061E-01  3400   0.197E+00    0.143E+00
DAV:  10    -0.454135003512E+03   -0.33959E+00   -0.18239E-01  2800   0.994E-01    0.982E-01
DAV:  11    -0.454439440985E+03   -0.30444E+00   -0.47335E-02  3320   0.471E-01    0.837E-01
DAV:  12    -0.455173277674E+03   -0.73384E+00   -0.21508E-01  2812   0.813E-01    0.593E-01
DAV:  13    -0.455145625912E+03    0.27652E-01   -0.12772E-01  2804   0.640E-01    0.427E-01
DAV:  14    -0.455773600146E+03   -0.62797E+00   -0.56729E-02  2888   0.407E-01    0.293E-01
DAV:  15    -0.456488285451E+03   -0.71469E+00   -0.32217E-02  2928   0.279E-01    0.200E-01
DAV:  16    -0.456882468161E+03   -0.39418E+00   -0.79620E-03  2948   0.175E-01    0.151E-01
DAV:  17    -0.457224413971E+03   -0.34195E+00   -0.71044E-03  2920   0.157E-01    0.988E-02
DAV:  18    -0.457335764903E+03   -0.11135E+00   -0.22891E-03  2944   0.929E-02    0.743E-02
DAV:  19    -0.457375739663E+03   -0.39975E-01   -0.12030E-03  3056   0.717E-02    0.548E-02
DAV:  20    -0.457390241631E+03   -0.14502E-01   -0.77234E-04  3000   0.620E-02    0.376E-02
DAV:  21    -0.457406274153E+03   -0.16033E-01   -0.33849E-04  2960   0.511E-02    0.254E-02
DAV:  22    -0.457434583077E+03   -0.28309E-01   -0.17375E-04  2932   0.439E-02    0.152E-02
DAV:  23    -0.457448635015E+03   -0.14052E-01   -0.88904E-05  2868   0.346E-02    0.953E-03
DAV:  24    -0.457453174614E+03   -0.45396E-02   -0.58648E-05  2556   0.255E-02    0.615E-03
DAV:  25    -0.457455245222E+03   -0.20706E-02   -0.41699E-05  2424   0.211E-02    0.372E-03
DAV:  26    -0.457456143144E+03   -0.89792E-03   -0.14556E-05  2416   0.120E-02    0.239E-03
DAV:  27    -0.457456535660E+03   -0.39252E-03   -0.39444E-06  2280   0.607E-03    0.150E-03
DAV:  28    -0.457456761321E+03   -0.22566E-03   -0.17242E-06  2224   0.352E-03    0.994E-04
DAV:  29    -0.457456874805E+03   -0.11348E-03   -0.67144E-07  2084   0.202E-03    0.656E-04
DAV:  30    -0.457456946035E+03   -0.71230E-04   -0.40286E-07  2000   0.131E-03    0.419E-04
DAV:  31    -0.457456987899E+03   -0.41865E-04   -0.23051E-07  2028   0.981E-04    0.271E-04
DAV:  32    -0.457457004861E+03   -0.16962E-04   -0.79790E-08  2008   0.666E-04    0.185E-04
DAV:  33    -0.457457011888E+03   -0.70269E-05   -0.25519E-08  1968   0.426E-04    0.149E-04
DAV:  34    -0.457457014301E+03   -0.24130E-05    0.99967E-10  1964   0.259E-04    0.135E-04
DAV:  35    -0.457457015308E+03   -0.10067E-05    0.12179E-08  1960   0.155E-04    0.131E-04
DAV:  36    -0.457457015824E+03   -0.51585E-06    0.15595E-08  1884   0.102E-04
   1 F= -.45745702E+03 E0= -.45745363E+03  d E =-.676890E-02  mag=     0.2977
