 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li Si
 POSCAR found :  3 types and      55 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.205498379987E+04    0.20550E+04   -0.73294E+04  3360   0.109E+03
DAV:   2     0.299200590927E+02   -0.20251E+04   -0.18886E+04  4224   0.243E+02
DAV:   3    -0.483120155900E+03   -0.51304E+03   -0.50189E+03  3632   0.128E+02
DAV:   4    -0.513244536023E+03   -0.30124E+02   -0.29442E+02  3528   0.387E+01
DAV:   5    -0.514469249330E+03   -0.12247E+01   -0.12130E+01  4464   0.657E+00    0.342E+01
DAV:   6    -0.487591301885E+03    0.26878E+02   -0.72575E+01  3248   0.120E+01    0.198E+01
DAV:   7    -0.477315339319E+03    0.10276E+02   -0.13607E+01  3092   0.812E+00    0.105E+01
DAV:   8    -0.475600473000E+03    0.17149E+01   -0.55342E+00  3088   0.504E+00    0.397E+00
DAV:   9    -0.475595592606E+03    0.48804E-02   -0.63530E-01  3604   0.163E+00    0.195E+00
DAV:  10    -0.476146479006E+03   -0.55089E+00   -0.22212E-01  3220   0.917E-01    0.107E+00
DAV:  11    -0.476724923110E+03   -0.57844E+00   -0.71619E-02  3192   0.481E-01    0.859E-01
DAV:  12    -0.477384053996E+03   -0.65913E+00   -0.87841E-02  3128   0.445E-01    0.700E-01
DAV:  13    -0.477994285746E+03   -0.61023E+00   -0.26428E-01  2968   0.740E-01    0.465E-01
DAV:  14    -0.478170778733E+03   -0.17649E+00   -0.99680E-02  2968   0.493E-01    0.329E-01
DAV:  15    -0.478830017107E+03   -0.65924E+00   -0.58617E-02  2992   0.327E-01    0.215E-01
DAV:  16    -0.479227012388E+03   -0.39700E+00   -0.17500E-02  3092   0.190E-01    0.153E-01
DAV:  17    -0.479484047432E+03   -0.25704E+00   -0.11464E-02  3084   0.152E-01    0.105E-01
DAV:  18    -0.479607561672E+03   -0.12351E+00   -0.46619E-03  3116   0.933E-02    0.772E-02
DAV:  19    -0.479652744840E+03   -0.45183E-01   -0.13611E-03  3160   0.565E-02    0.583E-02
DAV:  20    -0.479678162808E+03   -0.25418E-01   -0.14260E-03  3064   0.494E-02    0.393E-02
DAV:  21    -0.479687132449E+03   -0.89696E-02   -0.35401E-04  3252   0.314E-02    0.286E-02
DAV:  22    -0.479699562802E+03   -0.12430E-01   -0.16625E-04  3096   0.276E-02    0.175E-02
DAV:  23    -0.479714093109E+03   -0.14530E-01   -0.90269E-05  3084   0.250E-02    0.106E-02
DAV:  24    -0.479721143071E+03   -0.70500E-02   -0.54152E-05  2688   0.205E-02    0.700E-03
DAV:  25    -0.479723816677E+03   -0.26736E-02   -0.47743E-05  2544   0.183E-02    0.443E-03
DAV:  26    -0.479724981070E+03   -0.11644E-02   -0.40557E-05  2500   0.176E-02    0.270E-03
DAV:  27    -0.479725550195E+03   -0.56913E-03   -0.25730E-05  2560   0.138E-02    0.160E-03
DAV:  28    -0.479725755731E+03   -0.20554E-03   -0.10772E-05  2552   0.919E-03    0.101E-03
DAV:  29    -0.479725847954E+03   -0.92223E-04   -0.38596E-06  2544   0.521E-03    0.642E-04
DAV:  30    -0.479725906786E+03   -0.58832E-04   -0.17758E-06  2224   0.306E-03    0.385E-04
DAV:  31    -0.479725931488E+03   -0.24702E-04   -0.47949E-07  2200   0.154E-03    0.274E-04
DAV:  32    -0.479725946598E+03   -0.15110E-04   -0.16404E-07  2112   0.800E-04    0.182E-04
DAV:  33    -0.479725956304E+03   -0.97054E-05   -0.10589E-07  2000   0.522E-04    0.131E-04
DAV:  34    -0.479725959105E+03   -0.28012E-05   -0.16709E-08  1992   0.331E-04    0.112E-04
DAV:  35    -0.479725960849E+03   -0.17446E-05   -0.92769E-09  2016   0.229E-04    0.101E-04
DAV:  36    -0.479725961371E+03   -0.52122E-06    0.87369E-09  1928   0.142E-04
   1 F= -.47972596E+03 E0= -.47971898E+03  d E =-.139641E-01  mag=     0.5556
