 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li Si
 POSCAR found :  3 types and      55 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.205113948371E+04    0.20511E+04   -0.73326E+04  3368   0.109E+03
DAV:   2     0.292389710140E+02   -0.20219E+04   -0.18836E+04  4216   0.243E+02
DAV:   3    -0.483107350596E+03   -0.51235E+03   -0.50272E+03  3640   0.128E+02
DAV:   4    -0.513352309437E+03   -0.30245E+02   -0.29547E+02  3536   0.386E+01
DAV:   5    -0.514508924068E+03   -0.11566E+01   -0.11447E+01  4328   0.645E+00    0.342E+01
DAV:   6    -0.487608181176E+03    0.26901E+02   -0.72755E+01  3236   0.120E+01    0.198E+01
DAV:   7    -0.477258700571E+03    0.10349E+02   -0.13628E+01  3120   0.810E+00    0.105E+01
DAV:   8    -0.475714452111E+03    0.15442E+01   -0.54466E+00  3088   0.498E+00    0.396E+00
DAV:   9    -0.475755175128E+03   -0.40723E-01   -0.61795E-01  3644   0.160E+00    0.191E+00
DAV:  10    -0.476290873095E+03   -0.53570E+00   -0.21226E-01  3220   0.907E-01    0.106E+00
DAV:  11    -0.476856361617E+03   -0.56549E+00   -0.69608E-02  3176   0.476E-01    0.854E-01
DAV:  12    -0.477517467601E+03   -0.66111E+00   -0.90598E-02  3184   0.448E-01    0.694E-01
DAV:  13    -0.478110241135E+03   -0.59277E+00   -0.26254E-01  2984   0.738E-01    0.461E-01
DAV:  14    -0.478278261058E+03   -0.16802E+00   -0.93584E-02  3040   0.476E-01    0.331E-01
DAV:  15    -0.478934439676E+03   -0.65618E+00   -0.59506E-02  3024   0.325E-01    0.216E-01
DAV:  16    -0.479337201074E+03   -0.40276E+00   -0.18146E-02  3056   0.188E-01    0.154E-01
DAV:  17    -0.479595921883E+03   -0.25872E+00   -0.11589E-02  3108   0.151E-01    0.105E-01
DAV:  18    -0.479721054463E+03   -0.12513E+00   -0.46576E-03  3112   0.913E-02    0.774E-02
DAV:  19    -0.479766915285E+03   -0.45861E-01   -0.13330E-03  3176   0.531E-02    0.585E-02
DAV:  20    -0.479793214237E+03   -0.26299E-01   -0.14397E-03  3060   0.470E-02    0.394E-02
DAV:  21    -0.479802591053E+03   -0.93768E-02   -0.36803E-04  3164   0.305E-02    0.286E-02
DAV:  22    -0.479815003905E+03   -0.12413E-01   -0.17009E-04  3096   0.272E-02    0.175E-02
DAV:  23    -0.479829408880E+03   -0.14405E-01   -0.93846E-05  3056   0.254E-02    0.107E-02
DAV:  24    -0.479836256364E+03   -0.68475E-02   -0.57424E-05  2656   0.214E-02    0.717E-03
DAV:  25    -0.479839141451E+03   -0.28851E-02   -0.53021E-05  2564   0.194E-02    0.447E-03
DAV:  26    -0.479840354897E+03   -0.12134E-02   -0.41720E-05  2516   0.176E-02    0.269E-03
DAV:  27    -0.479840915613E+03   -0.56072E-03   -0.24288E-05  2616   0.132E-02    0.161E-03
DAV:  28    -0.479841122839E+03   -0.20723E-03   -0.10826E-05  2504   0.913E-03    0.100E-03
DAV:  29    -0.479841213341E+03   -0.90501E-04   -0.40886E-06  2608   0.538E-03    0.644E-04
DAV:  30    -0.479841270857E+03   -0.57516E-04   -0.19001E-06  2208   0.320E-03    0.388E-04
DAV:  31    -0.479841295357E+03   -0.24500E-04   -0.49475E-07  2184   0.156E-03    0.275E-04
DAV:  32    -0.479841310661E+03   -0.15304E-04   -0.17504E-07  2104   0.829E-04    0.185E-04
DAV:  33    -0.479841320591E+03   -0.99294E-05   -0.11361E-07  1996   0.545E-04    0.135E-04
DAV:  34    -0.479841323532E+03   -0.29409E-05   -0.22465E-08  1992   0.359E-04    0.115E-04
DAV:  35    -0.479841325271E+03   -0.17398E-05   -0.88360E-09  1992   0.250E-04    0.103E-04
DAV:  36    -0.479841325858E+03   -0.58617E-06    0.77859E-09  1928   0.152E-04
   1 F= -.47984133E+03 E0= -.47983434E+03  d E =-.139650E-01  mag=     0.5556
