 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li Si
 POSCAR found :  3 types and      55 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.203209628820E+04    0.20321E+04   -0.73176E+04  3360   0.109E+03
DAV:   2     0.298569782148E+02   -0.20022E+04   -0.18634E+04  4224   0.242E+02
DAV:   3    -0.483505046946E+03   -0.51336E+03   -0.50223E+03  3640   0.127E+02
DAV:   4    -0.513614480793E+03   -0.30109E+02   -0.29474E+02  3552   0.385E+01
DAV:   5    -0.514900501700E+03   -0.12860E+01   -0.12724E+01  4092   0.643E+00    0.343E+01
DAV:   6    -0.486665825240E+03    0.28235E+02   -0.79622E+01  3128   0.120E+01    0.199E+01
DAV:   7    -0.475941997594E+03    0.10724E+02   -0.14597E+01  3132   0.785E+00    0.107E+01
DAV:   8    -0.474263907624E+03    0.16781E+01   -0.65767E+00  3112   0.522E+00    0.391E+00
DAV:   9    -0.475404937689E+03   -0.11410E+01   -0.56078E-01  3688   0.139E+00    0.185E+00
DAV:  10    -0.476036605589E+03   -0.63167E+00   -0.15223E-01  3156   0.734E-01    0.926E-01
DAV:  11    -0.476322436220E+03   -0.28583E+00   -0.41629E-02  3088   0.352E-01    0.716E-01
DAV:  12    -0.476669795212E+03   -0.34736E+00   -0.42187E-02  3116   0.298E-01    0.588E-01
DAV:  13    -0.477088277477E+03   -0.41848E+00   -0.12709E-01  3012   0.501E-01    0.434E-01
DAV:  14    -0.477160047544E+03   -0.71770E-01   -0.80634E-02  2984   0.415E-01    0.324E-01
DAV:  15    -0.477569184012E+03   -0.40914E+00   -0.47581E-02  2932   0.280E-01    0.227E-01
DAV:  16    -0.477978212709E+03   -0.40903E+00   -0.24931E-02  2992   0.182E-01    0.159E-01
DAV:  17    -0.478226619461E+03   -0.24841E+00   -0.11906E-02  3064   0.135E-01    0.111E-01
DAV:  18    -0.478380016768E+03   -0.15340E+00   -0.63649E-03  2992   0.965E-02    0.761E-02
DAV:  19    -0.478464701535E+03   -0.84685E-01   -0.32449E-03  3056   0.638E-02    0.507E-02
DAV:  20    -0.478506499447E+03   -0.41798E-01   -0.12846E-03  3124   0.439E-02    0.356E-02
DAV:  21    -0.478527443491E+03   -0.20944E-01   -0.30854E-04  3152   0.297E-02    0.256E-02
DAV:  22    -0.478547045193E+03   -0.19602E-01   -0.21864E-04  3012   0.228E-02    0.164E-02
DAV:  23    -0.478559640779E+03   -0.12596E-01   -0.91277E-05  2956   0.186E-02    0.114E-02
DAV:  24    -0.478567217581E+03   -0.75768E-02   -0.50321E-05  2704   0.159E-02    0.760E-03
DAV:  25    -0.478570653635E+03   -0.34361E-02   -0.43562E-05  2624   0.153E-02    0.470E-03
DAV:  26    -0.478572240750E+03   -0.15871E-02   -0.30955E-05  2608   0.133E-02    0.277E-03
DAV:  27    -0.478572771405E+03   -0.53065E-03   -0.14741E-05  2508   0.983E-03    0.180E-03
DAV:  28    -0.478573029028E+03   -0.25762E-03   -0.95079E-06  2592   0.825E-03    0.114E-03
DAV:  29    -0.478573179216E+03   -0.15019E-03   -0.51783E-06  2728   0.609E-03    0.725E-04
DAV:  30    -0.478573242828E+03   -0.63612E-04   -0.18542E-06  2296   0.373E-03    0.487E-04
DAV:  31    -0.478573282851E+03   -0.40023E-04   -0.68647E-07  2192   0.193E-03    0.314E-04
DAV:  32    -0.478573306697E+03   -0.23845E-04   -0.26692E-07  2128   0.928E-04    0.207E-04
DAV:  33    -0.478573319417E+03   -0.12720E-04   -0.10450E-07  2140   0.540E-04    0.128E-04
DAV:  34    -0.478573325499E+03   -0.60821E-05   -0.45911E-08  2116   0.396E-04    0.817E-05
DAV:  35    -0.478573327318E+03   -0.18194E-05    0.37312E-09  2120   0.252E-04    0.653E-05
DAV:  36    -0.478573328705E+03   -0.13868E-05    0.96973E-09  2032   0.183E-04    0.535E-05
DAV:  37    -0.478573329345E+03   -0.64044E-06    0.17348E-08  2032   0.129E-04
   1 F= -.47857333E+03 E0= -.47856706E+03  d E =-.125382E-01  mag=     1.0003
