 running on   16 total cores
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.1 24Jun15 (build Jul 23 2024 06:15:33) complex                        
  
 POSCAR found type information on POSCAR  C  Li Si
 POSCAR found :  3 types and      55 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.205122837940E+04    0.20512E+04   -0.72971E+04  3344   0.109E+03
DAV:   2     0.352259033572E+02   -0.20160E+04   -0.18742E+04  4216   0.242E+02
DAV:   3    -0.481991098799E+03   -0.51722E+03   -0.50759E+03  3648   0.128E+02
DAV:   4    -0.513092514542E+03   -0.31101E+02   -0.30457E+02  3584   0.388E+01
DAV:   5    -0.514462051407E+03   -0.13695E+01   -0.13520E+01  4092   0.643E+00    0.343E+01
DAV:   6    -0.486040639926E+03    0.28421E+02   -0.79236E+01  3116   0.121E+01    0.199E+01
DAV:   7    -0.475378854872E+03    0.10662E+02   -0.14716E+01  3092   0.787E+00    0.107E+01
DAV:   8    -0.473631641047E+03    0.17472E+01   -0.64334E+00  3108   0.523E+00    0.395E+00
DAV:   9    -0.474771677505E+03   -0.11400E+01   -0.59451E-01  3656   0.142E+00    0.190E+00
DAV:  10    -0.475397855634E+03   -0.62618E+00   -0.14745E-01  3120   0.736E-01    0.948E-01
DAV:  11    -0.475687655761E+03   -0.28980E+00   -0.42214E-02  3036   0.360E-01    0.723E-01
DAV:  12    -0.476035797525E+03   -0.34814E+00   -0.43801E-02  3072   0.305E-01    0.591E-01
DAV:  13    -0.476444905151E+03   -0.40911E+00   -0.11512E-01  3004   0.479E-01    0.535E-01
DAV:  14    -0.476490527244E+03   -0.45622E-01   -0.15647E-02  3088   0.198E-01    0.404E-01
DAV:  15    -0.476644184752E+03   -0.15366E+00   -0.57028E-02  2920   0.319E-01    0.320E-01
DAV:  16    -0.477071932122E+03   -0.42775E+00   -0.61181E-02  2968   0.283E-01    0.212E-01
DAV:  17    -0.477412545256E+03   -0.34061E+00   -0.18787E-02  3052   0.166E-01    0.153E-01
DAV:  18    -0.477598750142E+03   -0.18620E+00   -0.53970E-03  3100   0.100E-01    0.120E-01
DAV:  19    -0.477763521760E+03   -0.16477E+00   -0.63545E-03  2948   0.100E-01    0.846E-02
DAV:  20    -0.477851363050E+03   -0.87841E-01   -0.35938E-03  3108   0.678E-02    0.605E-02
DAV:  21    -0.477892795105E+03   -0.41432E-01   -0.13267E-03  3160   0.388E-02    0.393E-02
DAV:  22    -0.477914694569E+03   -0.21899E-01   -0.48167E-04  3232   0.242E-02    0.269E-02
DAV:  23    -0.477930404199E+03   -0.15710E-01   -0.13204E-04  2828   0.147E-02    0.194E-02
DAV:  24    -0.477946692223E+03   -0.16288E-01   -0.11926E-04  2788   0.135E-02    0.133E-02
DAV:  25    -0.477954609770E+03   -0.79175E-02   -0.32879E-05  2816   0.914E-03    0.911E-03
DAV:  26    -0.477958250272E+03   -0.36405E-02   -0.21230E-05  2648   0.801E-03    0.577E-03
DAV:  27    -0.477960111111E+03   -0.18608E-02   -0.23090E-05  2584   0.818E-03    0.508E-03
DAV:  28    -0.477960860025E+03   -0.74891E-03   -0.10396E-05  2552   0.744E-03    0.228E-03
DAV:  29    -0.477961279537E+03   -0.41951E-03   -0.73964E-06  2532   0.612E-03    0.154E-03
DAV:  30    -0.477961428928E+03   -0.14939E-03   -0.32897E-06  2616   0.487E-03    0.106E-03
DAV:  31    -0.477961543454E+03   -0.11453E-03   -0.26269E-06  2432   0.402E-03    0.601E-04
DAV:  32    -0.477961588220E+03   -0.44766E-04   -0.11480E-06  2280   0.295E-03    0.408E-04
DAV:  33    -0.477961619485E+03   -0.31265E-04   -0.54346E-07  2060   0.178E-03    0.256E-04
DAV:  34    -0.477961637227E+03   -0.17742E-04   -0.26381E-07  2164   0.106E-03    0.158E-04
DAV:  35    -0.477961644663E+03   -0.74357E-05   -0.51454E-08  2064   0.512E-04    0.113E-04
DAV:  36    -0.477961649253E+03   -0.45902E-05   -0.26863E-08  2064   0.329E-04    0.826E-05
DAV:  37    -0.477961651278E+03   -0.20251E-05    0.30559E-09  2064   0.198E-04    0.657E-05
DAV:  38    -0.477961652193E+03   -0.91464E-06    0.15540E-08  2008   0.131E-04
   1 F= -.47796165E+03 E0= -.47795485E+03  d E =-.135983E-01  mag=     0.9883
